C1:1
C2:1
C3:1
C4:1
C5:1
EEPROM1:1
FAN1:1
FAN2:1
IN1:1
MCIO1:1
R1:1
R10:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
U1:1
