Designator,Mid X,Mid Y,Rotation,Layer
C1,46.55,-51.1,180.0,top
D16,48.6,-83.75,90.0,top
D17,74.4,-77.3,0.0,top
D3,141.7375,-76.4,180.0,top
D6,58.225,-81.5,0.0,top
EEPROM1,49.074993,-57.2202,90.0,top
FAN_L1,58.45,-92.75,270.0,top
FAN_R1,145.8,-92.86,90.0,top
MCIO1,76.804799,-30.568057,180.0,top
R1,48.6,-79.05,90.0,top
R10,138.5,-82.45,90.0,top
R11,53.049972,-48.2,90.0,top
R12,50.749972,-48.2,90.0,top
R2,79.15,-77.3,0.0,top
R3,67.3,-85.05,90.0,top
R4,64.8,-85.05,90.0,top
R5,62.3,-85.05,90.0,top
R6,59.8,-85.05,90.0,top
R7,146.0,-82.45,90.0,top
R8,143.5,-82.45,90.0,top
R9,141.0,-82.45,90.0,top
