Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5",C_Wurth_WCAP-CSGP-0201,4,0201_885012004001,C20040658
C3,C_Wurth_WCAP-CSGP-0402,1,0402_885012105020,C6839882
EEPROM1,SOP8_ROM,1,BR24L32F-WE2,C253183
"FAN1, FAN2",AMPHENOL_F3311A7H121004E200,2,F3311A7H121004E200,C3169422
MCIO1,AMPHENOL_G97R22312HR,1,G97R22312HR,C4499806
"R1, R2",R_Wurth_WRIS-RSKS-0402,2,0402_560112110088,560112110088
"R10, R3, R4, R5, R6, R7, R8, R9",R_Wurth_WRIS-RSKS-0402,8,0402_560112110001,C22463254
U1,VDFN8_NNC_MCH,1,SY75602ATWL-TR,C3613417
